Data,Contatto Connettore Interno,Cavo Connettore Interno,Contatto Connettore Esterno,Cavo Splitter,Tamb Interna,Tamb Esterna
2022-04-14 14:58:23.924400,32.876,33.774,31.901,31.933,27.174,24.076
2022-04-14 14:58:34.279400,32.92,33.804,31.942,31.953,27.229,24.072
2022-04-14 14:58:44.635400,32.928,33.817,31.924,31.961,27.24,24.076
2022-04-14 14:58:54.990400,32.892,33.796,31.898,31.96,27.217,24.097
2022-04-14 14:59:05.347400,32.868,33.775,31.895,31.948,27.234,24.131
2022-04-14 14:59:15.704400,32.886,33.779,31.918,31.942,27.245,24.13
2022-04-14 14:59:26.060400,32.873,33.783,31.927,31.946,27.25,24.126
2022-04-14 14:59:37.889400,32.855,33.771,31.907,31.949,27.266,24.144
2022-04-14 14:59:48.245400,32.868,33.769,31.91,31.944,27.266,24.148
2022-04-14 14:59:58.600400,32.879,33.79,31.899,31.939,27.297,24.135
2022-04-14 15:00:08.956400,32.873,33.79,31.905,31.939,27.292,24.114
2022-04-14 15:00:19.311400,32.884,33.782,31.886,31.955,27.3,24.135
2022-04-14 15:00:29.668400,32.881,33.785,31.897,31.957,27.303,24.13
2022-04-14 15:00:40.023400,32.876,33.798,31.876,31.939,27.316,24.14
2022-04-14 15:00:50.379400,32.886,33.79,31.92,31.952,27.31,24.119
2022-04-14 15:01:00.734400,32.873,33.803,31.897,31.963,27.352,24.103
2022-04-14 15:01:11.090400,32.881,33.795,31.894,31.952,27.368,24.124
2022-04-14 15:01:22.887400,32.881,33.806,31.91,31.973,27.36,24.117
2022-04-14 15:01:33.244400,32.886,33.795,31.889,31.944,27.337,24.117
2022-04-14 15:01:43.601400,32.876,33.785,31.897,31.981,27.347,24.096
2022-04-14 15:01:53.957400,32.871,33.813,31.891,31.957,27.339,24.103
2022-04-14 15:02:04.312400,32.886,33.806,31.902,31.973,27.352,24.098
2022-04-14 15:02:14.666400,32.884,33.8,31.899,31.968,27.358,24.096
2022-04-14 15:02:25.024400,32.881,33.816,31.886,31.973,27.371,24.096
2022-04-14 15:02:35.379400,32.886,33.808,31.894,31.984,27.373,24.101
2022-04-14 15:02:45.735400,32.892,33.806,31.918,31.973,27.381,24.096
2022-04-14 15:02:56.091400,32.873,33.792,31.897,31.989,27.373,24.082
2022-04-14 15:03:07.887400,32.889,33.798,31.899,31.976,27.366,24.09
2022-04-14 15:03:18.243400,32.876,33.8,31.894,31.989,27.386,24.103
2022-04-14 15:03:28.599400,32.881,33.798,31.889,31.97,27.394,24.098
2022-04-14 15:03:38.955400,32.881,33.813,31.889,31.981,27.379,24.109
2022-04-14 15:03:49.310400,32.894,33.8,31.899,31.947,27.368,24.106
2022-04-14 15:03:59.666400,32.879,33.774,31.876,31.952,27.329,24.109
2022-04-14 15:04:10.021400,32.876,33.777,31.881,31.952,27.324,24.114
2022-04-14 15:04:20.377400,32.881,33.766,31.873,31.939,27.274,24.109
2022-04-14 15:04:30.733400,32.881,33.756,31.87,31.952,27.271,24.075
2022-04-14 15:04:41.091400,32.873,33.766,31.865,31.936,27.279,24.085
2022-04-14 15:04:53.010400,32.873,33.766,31.87,31.936,27.276,24.098
2022-04-14 15:05:03.365400,32.868,33.771,31.876,31.926,27.282,24.106
2022-04-14 15:05:13.722400,32.894,33.804,31.927,31.957,27.275,24.096
2022-04-14 15:05:24.082400,32.918,33.796,31.948,31.96,27.272,24.077
2022-04-14 15:05:34.437400,32.899,33.791,31.908,31.944,27.275,24.077
2022-04-14 15:05:44.795400,32.938,33.83,31.968,32.008,27.3,24.081
2022-04-14 15:05:55.149400,32.946,33.801,31.946,31.994,27.289,24.075
2022-04-14 15:06:05.504400,32.975,33.843,31.973,32.005,27.3,24.08
2022-04-14 15:06:15.860400,32.975,33.845,32.005,32.024,27.281,24.098
2022-04-14 15:06:26.215400,32.956,33.828,32.002,32.0,27.276,24.145
2022-04-14 15:06:38.085400,32.92,33.825,31.989,31.995,27.31,24.132
2022-04-14 15:06:48.441400,32.899,33.836,31.954,31.978,27.302,24.131
2022-04-14 15:06:58.797400,32.91,33.813,31.975,31.97,27.279,24.126
2022-04-14 15:07:09.153400,32.92,33.809,31.974,31.969,27.276,24.116
2022-04-14 15:07:19.508400,32.915,33.795,31.972,31.965,27.268,24.135
2022-04-14 15:07:29.863400,32.91,33.795,31.996,31.973,27.239,24.158
2022-04-14 15:07:40.219400,32.912,33.779,31.972,31.967,27.242,24.14
2022-04-14 15:07:50.574400,32.91,33.774,31.962,31.96,27.192,24.14
2022-04-14 15:08:00.929400,32.904,33.784,31.97,31.957,27.187,24.129
2022-04-14 15:08:11.285400,32.902,33.779,31.959,31.962,27.171,24.137
2022-04-14 15:08:23.097400,32.896,33.8,31.962,31.973,27.176,24.114
2022-04-14 15:08:33.452400,32.91,33.779,31.957,31.946,27.208,24.124
2022-04-14 15:08:43.807400,32.894,33.813,31.957,31.967,27.213,24.135
2022-04-14 15:08:54.162400,32.896,33.787,31.977,31.965,27.189,24.148
2022-04-14 15:09:04.518400,32.91,33.8,32.009,31.962,27.218,24.129
2022-04-14 15:09:14.874400,32.91,33.805,31.998,31.954,27.237,24.121
2022-04-14 15:09:25.230400,32.907,33.816,31.993,31.954,27.226,24.148
2022-04-14 15:09:35.586400,32.902,33.805,31.97,31.986,27.231,24.142
2022-04-14 15:09:45.947400,32.889,33.797,31.97,31.981,27.26,24.135
2022-04-14 15:09:56.302400,32.915,33.821,31.983,31.978,27.279,24.114
2022-04-14 15:10:08.152400,32.92,33.834,31.954,31.978,27.297,24.106
2022-04-14 15:10:18.506400,32.915,33.839,31.962,31.996,27.3,24.103
2022-04-14 15:10:28.861400,32.894,33.829,31.962,31.991,27.297,24.114
2022-04-14 15:10:39.216400,32.933,33.829,31.975,31.978,27.318,24.124
2022-04-14 15:10:49.571400,32.92,33.813,31.972,31.988,27.326,24.114
